City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,benjamin constant,-4.3831,-70.0311,24.07,99,100,1.03,BR,1677988124
1,lompoc,34.6391,-120.4579,10.89,82,100,2.06,US,1677988125
2,kisanga,-7.4362,37.7034,21.54,91,90,0.92,TZ,1677988127
3,albany,42.6001,-73.9662,0.91,91,99,4.03,US,1677987946
4,kodiak,57.79,-152.4072,0.73,55,0,3.09,US,1677988131
5,mataura,-46.1927,168.8643,15.77,47,48,2.24,NZ,1677988132
6,klaksvik,62.2266,-6.589,1.51,72,100,1.8,FO,1677988133
7,lebu,-37.6167,-73.65,13.53,74,0,6.73,CL,1677987607
8,saint-philippe,-21.3585,55.7679,24.77,85,100,3.06,RE,1677988137
9,qaanaaq,77.484,-69.3632,-10.41,48,72,4.47,GL,1677988138
10,busselton,-33.65,115.3333,22.72,41,23,3.16,AU,1677987921
11,punta arenas,-53.15,-70.9167,3.06,81,75,3.6,CL,1677988141
12,wajid,3.8093,43.2471,22.92,63,96,9.55,SO,1677988144
13,saskylakh,71.9167,114.0833,-25.23,98,99,2.14,RU,1677987587
14,kaduqli,11.0167,29.7167,22.82,17,94,3.24,SD,1677988146
15,sibolga,1.7427,98.7792,29.29,62,12,1.93,ID,1677988148
16,bluff,-46.6,168.3333,12.76,63,31,6.44,NZ,1677988149
17,thompson,55.7435,-97.8558,-10.91,85,100,3.09,CA,1677988151
18,vardo,70.3705,31.1107,-4.01,80,100,10.8,NO,1677988152
19,sao filipe,14.8961,-24.4956,21.9,70,74,2.7,CV,1677988153
20,rikitea,-23.1203,-134.9692,25.24,80,100,6.65,PF,1677988155
21,ada,43.4166,-116.1262,0.72,89,40,4.63,US,1677988157
22,tabuk,17.4189,121.4443,23.99,61,27,3.38,PH,1677988159
23,vallenar,-28.5708,-70.7581,21.68,65,0,0.93,CL,1677988160
24,ejura,7.3856,-1.3562,24.73,72,100,0.76,GH,1677988162
25,coihaique,-45.5752,-72.0662,9.97,93,100,3.6,CL,1677988163
26,manakara,-22.1333,48.0167,23.27,95,100,1.78,MG,1677988165
27,alofi,-19.0595,-169.9187,28.94,84,100,3.6,NU,1677988166
28,pacific grove,36.6177,-121.9166,9.12,88,100,0.89,US,1677988144
29,raudeberg,61.9875,5.1352,-0.58,78,100,7.62,NO,1677988169
30,medea,36.2642,2.7539,2.22,76,1,1.76,DZ,1677988110
31,pilar,-9.5972,-35.9567,24.96,82,49,1.54,BR,1677988172
32,dekar,-21.5333,21.9333,21.81,60,77,2.03,BW,1677988174
33,kurilsk,45.2333,147.8833,-0.82,74,88,7.33,RU,1677988175
34,santa cruz,-17.8,-63.1667,23.7,94,40,1.54,BO,1677987956
35,moree,-29.4667,149.85,31.78,25,2,2.79,AU,1677988178
36,krasnoselkup,65.7,82.4667,-22.39,97,91,3.75,RU,1677988179
37,vaini,-21.2,-175.2,30.09,84,75,9.77,TO,1677988182
38,kruisfontein,-34.0033,24.7314,20.49,93,100,0.47,ZA,1677988183
39,taksimo,56.3444,114.8794,-6.01,56,96,5.75,RU,1677988184
40,mar del plata,-38.0023,-57.5575,20.05,85,75,2.68,AR,1677988016
41,cutcut,15.4667,120.6667,28.71,40,3,2.79,PH,1677988187
42,chuy,-33.6971,-53.4616,20.57,88,0,2.19,UY,1677988188
43,kuala lumpur,3.1431,101.6865,32.75,70,20,0.0,MY,1677987935
44,hermanus,-34.4187,19.2345,18.22,93,100,3.88,ZA,1677988191
45,ustye,59.6304,39.736,-9.38,95,98,3.09,RU,1677988192
46,katsuura,35.1333,140.3,11.41,68,100,7.24,JP,1677988194
47,provideniya,64.3833,-173.3,-1.14,98,100,5.44,RU,1677988195
48,ushuaia,-54.8,-68.3,2.81,81,0,2.57,AR,1677988197
49,tuktoyaktuk,69.4541,-133.0374,-35.0,75,20,1.54,CA,1677988199
50,tasiilaq,65.6145,-37.6368,-2.91,78,23,2.82,GL,1677988200
51,upernavik,72.7868,-56.1549,-9.54,78,98,1.4,GL,1677988202
52,kununurra,-15.7667,128.7333,35.99,52,40,4.12,AU,1677988203
53,bredasdorp,-34.5322,20.0403,20.18,92,100,1.11,ZA,1677988205
54,plattsburgh,44.6995,-73.4529,0.18,88,100,4.12,US,1677988074
55,axim,4.8699,-2.2405,25.96,85,100,1.32,GH,1677988207
56,inirida,3.8653,-67.9239,23.48,98,86,0.49,CO,1677988209
57,sioux lookout,50.1001,-91.917,-7.96,86,0,0.0,CA,1677987620
58,clyde river,70.4692,-68.5914,-16.87,71,75,2.06,CA,1677988211
59,gijon,43.5357,-5.6615,5.8,89,26,0.45,ES,1677988025
60,esik,43.3552,77.4525,3.68,56,14,3.52,KZ,1677988214
61,caravelas,-17.7125,-39.2481,23.7,87,100,1.19,BR,1677987648
62,ostrovnoy,68.0531,39.5131,-13.07,85,100,3.35,RU,1677988217
63,uddevalla,58.3478,11.9424,-1.07,59,1,3.55,SE,1677988141
64,luderitz,-26.6481,15.1594,17.04,81,33,1.67,NA,1677988219
65,khandyga,62.6667,135.6,-12.53,91,100,2.38,RU,1677988221
66,cascais,38.6979,-9.4215,13.92,85,99,7.6,PT,1677988078
67,oranjestad,12.524,-70.027,25.97,78,20,7.2,AW,1677987966
68,garowe,8.4054,48.4845,19.43,87,32,4.68,SO,1677988226
69,henties bay,-22.116,14.2845,16.77,86,0,2.79,NA,1677988227
70,chokurdakh,70.6333,147.9167,-34.23,93,18,1.64,RU,1677988229
71,neiafu,-18.65,-173.9833,31.38,70,20,5.14,TO,1677988230
72,cape town,-33.9258,18.4232,19.23,93,75,3.6,ZA,1677988045
73,hilo,19.7297,-155.09,22.85,88,0,4.63,US,1677988233
74,airai,-8.9266,125.4092,21.92,67,89,2.39,TL,1677988234
75,cap malheureux,-19.9842,57.6142,24.7,90,100,6.33,MU,1677988237
76,atuona,-9.8,-139.0333,26.93,78,6,5.09,PF,1677988239
77,port alfred,-33.5906,26.891,19.54,97,31,1.34,ZA,1677988240
78,yellowknife,62.456,-114.3525,-24.69,77,75,3.09,CA,1677988242
79,castro,-24.7911,-50.0119,17.26,98,9,1.92,BR,1677988243
